53583424,Walkabout,1,"Marshall, James Vance",,,,"DoubleDay (1961), Edition: ., Hardcover",1961,,,,,Walkabout by James Vance Marshall (1961),8.3 inches,0.6 pounds,8.3 inches,0.6 inches,5.5 inches,8.3 x 5.5 x 0.6 inches,,,,,,,_Historical Fiction,BookEnds,English,German,PZ4.P344PR6066.A9Wal,[999740582X],"999740582X, 9789997405821","Adventure stories|Australia > Description and travel > Periodicals|Children's stories, Australian|Children, Aboriginal Australian > Juvenile fiction|Intercultural communication > Juvenile fiction|Outback Australia > Juvenile fiction|Survival after airplane accidents, shipwrecks, etc. > Juvenile fiction|adventure stories",823,English fiction > English literature > Literature,1,amazon.com,[2009-11-28],,93636
53583450,The red badge of courage (Scholastic Library edition),5,"Crane, Stephen",,,,"Scholastic Book Services (1965), Unknown Binding, 180 pages",1965,,,,,The red badge of courage (Scholastic Library edition) by Stephen Crane (1965),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,Italian,PS1449.C85R3,[],,"Allegories|Chancellorsville, Battle of, Chancellorsville, Va., 1863 > Fiction|Chancellorsville, Battle of, Chancellorsville, Va., 1863 > Juvenile fiction|Coming of age > Fiction|Crane, Stephen, 1871-1900. Red badge of courage|Fiction in English American writers, 1861-1900 - Texts|Historical Fiction|Historical fiction|Publishers' advertisements > New York (State) > New York > 1951|United States > Fiction. > Civil War, 1861-1865|United States > Fiction. > Civil war, 1861-1865|United States > History > Civil War, 1861-1865 > Fiction|United States > History > Civil War, 1861-1865 > Literature and the war|United States > History > Civil war, 1861-1865 > Fiction|United States > Social life and customs > Fiction|Virginia > History > Civil War, 1861-1865 > Fiction|Virginia > History > Civil war, 1861-1865 > Fiction|War > Fiction|War stories|historical fiction",813.4,American Fiction > American literature > Later 19th Century 1861-1900 > Literature,1,amazon.com,[2009-11-28],,1528
53583464,The Red Badge Of Courage,5,"Crane, Stephen",,,,"Scholastic Book Services (1964), Edition: 4th printing, Mass Market Paperback",1964,,,,,The Red Badge Of Courage by Stephen Crane (1964),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,Italian,PS1449.C85R3,[],,"Allegories|Chancellorsville, Battle of, Chancellorsville, Va., 1863 > Fiction|Chancellorsville, Battle of, Chancellorsville, Va., 1863 > Juvenile fiction|Coming of age > Fiction|Crane, Stephen, 1871-1900. Red badge of courage|Fiction in English American writers, 1861-1900 - Texts|Historical Fiction|Historical fiction|Publishers' advertisements > New York (State) > New York > 1951|United States > Fiction. > Civil War, 1861-1865|United States > Fiction. > Civil war, 1861-1865|United States > History > Civil War, 1861-1865 > Fiction|United States > History > Civil War, 1861-1865 > Literature and the war|United States > History > Civil war, 1861-1865 > Fiction|United States > Social life and customs > Fiction|Virginia > History > Civil War, 1861-1865 > Fiction|Virginia > History > Civil war, 1861-1865 > Fiction|War > Fiction|War stories|historical fiction",813.4,American Fiction > American literature > Later 19th Century 1861-1900 > Literature,1,amazon.com,[2009-11-28],,1528
53583566,Pictures of Hollis Woods,1,"Giff, Patricia Reilly",,,,"Yearling (2004), Edition: 2nd printing, Paperback, 176 pages",2004,,,,,Pictures of Hollis Woods by Patricia Reilly Giff (2004),176 p.; 7.5 inches,0.35 pounds,7.5 inches,0.5 inches,5.2 inches,7.5 x 5.2 x 0.5 inches,176 ,,,,,,_Historical Fiction,BookEnds,English,Indonesian,PZ7.G3626Pk,[0439692393],"0439692393, 9780439692397",Artists > Fiction|Family > Fiction|Foster home care > Fiction|New York (State) > Fiction|Old Age > Fiction|Old age > Fiction|Orphans > Fiction,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,21602
53583591,A Parcel of Patterns (Aerial Fiction),3,"Walsh, Jill Paton",,,,"Farrar, Straus and Giroux (BYR) (1992), Paperback, 144 pages",1992,,,,,A Parcel of Patterns (Aerial Fiction) by Jill Paton Walsh (1992),144 p.; 6.81 inches,0.19 pounds,6.81 inches,0.36 inches,4.12 inches,6.81 x 4.12 x 0.36 inches,144 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.P2735Par,[0374457433],"0374457433, 9780374457433",,823.914,1945-1999 > 20th Century > English fiction > English literature > Literature > Modern Period,1,amazon.com,[2009-11-28],,335516
53583592,Moonshiner's Son,1,"Reeder, Carolyn",,,,"Aladdin (2003), Paperback, 208 pages",2003,,,,,Moonshiner's Son by Carolyn Reeder (2003),208 p.; 8.54 inches,0.32 pounds,8.54 inches,0.6 inches,5.2 inches,8.54 x 5.2 x 0.6 inches,208 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.R25416Mo,[0689855508],"0689855508, 9780689855504",Fathers and sons > Fiction|Mountain life > Virginia > Fiction|Prohibition > Fiction,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,85324
53583913,Cat Running,1,"Snyder, Zilpha Keatley",,,,"Yearling (1996), Paperback, 176 pages",1996,,,,,Cat Running by Zilpha Keatley Snyder (1996),176 p.; 7.64 inches,0.28 pounds,7.64 inches,0.44 inches,5.21 inches,7.64 x 5.21 x 0.44 inches,176 ,,,,,,_Historical Fiction,BookEnds,English,Italian,PZ7.S68522Cat,[0440411521],"0440411521, 9780440411529",,,,1,amazon.com,[2009-11-28],,87335
53583976,Molly's Pilgrim,1,"Cohen, Barbara",,"Duffy, Daniel Mark",Illustrator,"HarperCollins (1998), Edition: Revised, Hardcover, 32 pages",1998,,,,,Molly's Pilgrim by Barbara Cohen (1998),32 p.; 10.28 inches,0.73 pounds,10.28 inches,0.34 inches,8.46 inches,10.28 x 8.46 x 0.34 inches,32 ,,,,,,_In-Between Readers,BookEnds,English,,PZ7.C6595Mo,[0688162797],"0688162797, 9780688162795",Emigration and immigration > Fiction|Jews > United States > Fiction|Jews > United States > Juvenile fiction|Russian Americans > Fiction|Schools > Fiction|Schools > fiction|Thanksgiving Day > Fiction,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,169925
53584039,America at War!: Battles That Turned the Tide,1,"Black, Brian",,,,"Scholastic Paperbacks (1992), Paperback, 171 pages",1992,,,,,America at War!: Battles That Turned the Tide by Brian Black (1992),171 p.; 7.5 inches,0.4 pounds,7.5 inches,0.4 inches,5.1 inches,7.5 x 5.1 x 0.4 inches,171 ,,,,,,_History,BookEnds,English,,E181.B67,[0590455052],"0590455052, 9780590455053","Battles > United States > History|United States > History, Military",355.00973,"Army; Military Science > Public Administration, Military Science > Social Sciences ",1,amazon.com,[2009-11-28],,334416
53584053,Navajo Long Walk (The Council for Indian Education),1,"Armstrong, Nancy M",,,,"Roberts Rinehart Publishers (2001), Paperback, 128 pages",2001,,,,,Navajo Long Walk (The Council for Indian Education) by Nancy M Armstrong (2001),128 p.; 8.48 inches,0.42 pounds,8.48 inches,0.38 inches,5.49 inches,8.48 x 5.49 x 0.38 inches,128 ,,,,,,_Historical Fiction,BookEnds,English,,,[1879373564],"1879373564, 9781879373563",,,,1,amazon.com,[2009-11-28],,1006209
53584086,THE SCHOOL TRAIN,5,"Acker, Helen",,,,"Abelard Schuman (1953), Edition: 1St Edition, Hardcover",1953,,,,,THE SCHOOL TRAIN by Helen Acker (1953),,,,,,,,,,,,,_Chapter Books,BookEnds,English,,PZ7.A18Le,[],,,,,1,amazon.com,[2009-11-28],,1913474
53584146,A boy of Old Prague,3,,,,,"Pantheon Books (1963), Unknown Binding",1963,,,,,A boy of Old Prague (1963),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,,,[],,,,,1,amazon.com,[2009-11-28],,9251037
53584170,"Teetoncey (Taylor, Theodore, Cape Hatteras Trilogy.)",1,"Taylor, Theodore",,,,,2004,,,,,"Teetoncey (Taylor, Theodore, Cape Hatteras Trilogy.) by Theodore Taylor (2004)",,,,,,,,,,,,,_Historical Fiction,BookEnds,English,,PZ7.T2186Te,[],,,,,1,amazon.com,[2009-11-28],,671144
53584175,"Teetoncey and Ben O'Neal (Taylor, Theodore, Cape Hatteras Trilogy.)",1,"Taylor, Theodore",,,,,2004,,,,,"Teetoncey and Ben O'Neal (Taylor, Theodore, Cape Hatteras Trilogy.) by Theodore Taylor (2004)",,,,,,,,,,,,,_Historical Fiction,BookEnds,English,,,[],,,,,1,amazon.com,[2009-11-28],,5607071
53584187,Children in Hiding Tomas Takes Charge,1,"Talbot, Charlene Joy",,,,"SCHOLASTIC BOOK SERVICES (no date), Paperback",no date,,,,,Children in Hiding Tomas Takes Charge by Charlene Joy Talbot (no date),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,,PZ7.T1418To,[],,,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,1488671
53584198,The Tombs of Anak,5,"Peretti, Frank E.",,,,"Crossway Books (1987), Paperback",1987,,,,,The Tombs of Anak by Frank E. Peretti (1987),,,,,,,,,,,,,_Chapter Books,BookEnds,English,,PS3566.E691317,[],,,813,American Fiction > American literature > Literature,1,amazon.com,[2009-11-28],,425868
53584212,The Young Indiana Jones Chronicles The Secret Of Peace,5,"McCay, William",,,,"Unknown (1992), Paperback",1992,,,,,The Young Indiana Jones Chronicles The Secret Of Peace by William McCay (1992),,,,,,,,,,,,,_Historical Fiction,BookEnds,English,,,[],,,,,1,amazon.com,[2009-11-28],,105934
53584284,Miss Bianca,1,"Sharp, Margery",,"Williams, G.",Illustrator,"Young Lions (1991), Edition: New Ed, Paperback, 160 pages",1991,,,,,Miss Bianca by Margery Sharp (1991),160 p.,0.27 pounds,,,,,160 ,,,,,,_Chapter Books,BookEnds,English,Finnish,PZ10.3.S38514Mi,[0006742025],"0006742025, 9780006742029",Juvenile literature|Juvenile literature > New York (State) > New York > 1964|Mice > Juvenile fiction|juvenile literature,823.91,20th Century > English fiction > English literature > Literature > Modern Period,1,amazon.com,[2009-11-28],,3319557
53584309,Wild Timothy,1,"Blackwood, Gary",,,,"Scholastic Book Services (1987), Paperback",1987,,,,,Wild Timothy by Gary Blackwood (1987),,,,,,,,,,,,,_Chapter Books,BookEnds,English,,PZ7.B5338Wi,[],,Camping > Fiction|Fathers and sons > Fiction|Self-reliance > Fiction|Survival > Fiction,139,Parapsychology and occultism > Philosophy and Psychology > Phrenology,1,amazon.com,[2009-11-28],,2029402
53584352,Summer Switch,1,"Rodgers, Mary",,,,"see notes for publisher info (1982), Hardcover",1982,,,,,Summer Switch by Mary Rodgers (1982),185 p.; 8.25 inches,0.75 pounds,8.25 inches,1 inch,5.75 inches,8.25 x 5.75 x 1 inches,185 ,,,,,,_Chapter Books,BookEnds,English,French,PZ7.R6155 Su,[],,Fathers and sons > Fiction,813.54,20th Century > American Fiction > American literature > Later 20th Century 1945- > Literature,1,amazon.com,[2009-11-28],,60267
53584374,"Angela, Private Citizen",1,"Robinson, Nancy K.",,,,"Scholastic (1991), Paperback",1991,,,,,"Angela, Private Citizen by Nancy K. Robinson (1991)",7.6 inches,0.22 pounds,7.6 inches,0.5 inches,5.3 inches,7.6 x 5.3 x 0.5 inches,,,,,,,_Chapter Books,BookEnds,English,,,[0590454102],"0590454102, 9780590454100",,,,1,amazon.com,[2009-11-28],,372648
53584440,Fool's Gold,1,"Snyder, Zilpha Keatley",,,,"Demco Media (1994), Turtleback, 214 pages",1994,,,,,Fool's Gold by Zilpha Keatley Snyder (1994),214 p.; 8 inches,0.5 pounds,8 inches,0.75 inches,5.25 inches,8 x 5.25 x 0.75 inches,214 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.S68522Fo,[060606382X],"060606382X, 9780606063821",,,,1,amazon.com,[2009-11-28],,312738
53584527,"NOODLES, NITWITS AND NUMSKULLS: Foolish hilarity recounted in folk literature throughout Europe, Asia and America.",1,"Leach, Maria",,,,"World Pub. (1961), Edition: 1ST, Hardcover, 96 pages",1961,,,,,"NOODLES, NITWITS AND NUMSKULLS: Foolish hilarity recounted in folk literature throughout Europe, Asia and America. by Maria Leach (1961)",,,,,,,,,,,,,_Fantasy,BookEnds,English,,PZ8.1.L18No,[],,,808.87,Anthologies > Anthologies And Instruction > By Topic > Comedy > Literature,1,amazon.com,[2009-11-28],,801158
53584557,Sheriff at Waterstop,1,"Thomson, Andy",,,,"BJU Press (1987), Paperback, 125 pages",1987,,,,,Sheriff at Waterstop by Andy Thomson (1987),125 p.; 8.3 inches,0.5 pounds,8.3 inches,0.4 inches,5.4 inches,8.3 x 5.4 x 0.4 inches,125 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.T3738Sh,[0890843716],"0890843716, 9780890843710",,,,1,amazon.com,[2009-11-28],,573252
53584577,Camp Princess 1: Born to Rule,1,"Lasky, Kathryn",,,,"HarperCollins (2006), Hardcover, 160 pages",2006,,,,,Camp Princess 1: Born to Rule by Kathryn Lasky (2006),160 p.; 8.1 inches,0.45 pounds,8.1 inches,0.8 inches,5.6 inches,8.1 x 5.6 x 0.8 inches,160 ,,,,,,_Chapter Books,BookEnds,English,,PZ7.L3274Bor,[006058761X],"006058761X, 9780060587611",,,,1,amazon.com,[2009-11-28],,8996028
53584603,"Goldie's Fortune: A Story of the Great Depression (Doll Hospital, Book 2)",1,"Holub, Joan",,"Noll, Cheryl Kirk",Illustrator,"Scholastic Paperbacks (2002), Paperback, 128 pages",2002,,,,,"Goldie's Fortune: A Story of the Great Depression (Doll Hospital, Book 2) by Joan Holub (2002)",128 p.; 7.4 inches,0.3 pounds,7.4 inches,0.5 inches,5.2 inches,7.4 x 5.2 x 0.5 inches,128 ,,,,,,_Historical Fiction,BookEnds,English,,,[0439401798],"0439401798, 9780439401791",Depressions > 1929 > United States > Juvenile fiction|Depressions > United States > Juvenile fiction|Doll hospitals > Juvenile fiction|Grandmothers > Juvenile fiction,,,1,amazon.com,[2009-11-28],,912176
53584662,Grasshopper Summer,1,"Turner, Ann",,"Meltzer, Erika",Illustrator,"Aladdin (2000), Paperback, 176 pages",2000,,,,,Grasshopper Summer by Ann Turner (2000),176 p.; 7.64 inches,0.26 pounds,7.64 inches,0.45 inches,5.13 inches,7.64 x 5.13 x 0.45 inches,176 ,,,,,,_Historical Fiction,BookEnds,English,,PZ7.T8535Gr,[0689835221],"0689835221, 9780689835223",Frontier and pioneer life > Fiction|Frontier and pioneer life > fiction|South Dakota > Fiction,,,1,amazon.com,[2009-11-28],,996764
53584711,Anyone but Me (Katie Kazoo Switcheroo),1,"Krulik, Nancy E.",,"Wendy, John &",Illustrator,"Grosset & Dunlap (2002), Paperback, 80 pages",2002,,,,,Anyone but Me (Katie Kazoo Switcheroo) by Nancy E. Krulik (2002),80 p.; 7.64 inches,0.19 pounds,7.64 inches,0.18 inches,5.3 inches,7.64 x 5.3 x 0.18 inches,80 ,,,,,,_In-Between Readers,BookEnds,English,,PZ7.K9416Ano,[0448426536],"0448426536, 9780448426532",Hamsters > Fiction|Magic > Fiction|Schools > Fiction|Schools > fiction,,,1,amazon.com,[2009-11-28],,767824
